customer_id,customer_name,city,total_spent,spending_rank
184,"VIVIAN RUIZ",´s-Hertogenbosch,90.77,1
52,"JULIE SANCHEZ","A Coruña (La Coruña)",107.71,1
101,"PEGGY MYERS",Abha,96.76,1
452,"TOM MILNER","Abu Dhabi",107.68,1
486,"GLEN TALBERT",Acuña,113.74,1
327,"LARRY THRASHER",Adana,112.74,1
392,"SEAN DOUGLASS","Addis Abeba",91.77,1
210,"ELLA OLIVER",Aden,137.69,1
367,"ADAM GOOCH",Adoni,101.78,1
130,"CHARLOTTE HUNTER","Águas Lindas de Goiás",93.76,1
297,"SHERRI RHODES",Ahmadnagar,128.67,1
574,"JULIAN VEST",Akishima,109.72,1
479,"ZACHARY HITE",Akron,146.69,1
98,"LILLIAN GRIFFIN",al-Ayn,106.75,1
70,"CHRISTINA RAMIREZ",al-Hawiya,80.82,1
590,"SETH HANNON",al-Manama,112.75,1
395,"JOHNNY TURPIN",al-Qadarif,57.81,1
417,"TRAVIS ESTEP",al-Qatif,110.75,1
33,"ANNA HILL",Alessandria,91.79,1
175,"ANNETTE OLSON","Allappuzha (Alleppey)",98.76,1
414,"VINCENT RALSTON",Allende,105.75,1
359,"WILLIE MARKHAM","Almirante Brown",101.75,1
551,"CLAYTON BARBEE",Alvorada,96.74,1
225,"ARLENE HARVEY",Ambattur,120.74,1
415,"GLENN PULLEN",Amersfoort,93.77,1
534,"CHRISTIAN JUNG",Amroha,88.76,1
229,"TAMARA NGUYEN",Anápolis,93.75,1
307,"JOSEPH JOY","Angra dos Reis",134.70,1
45,"JANET PHILLIPS",Antofagasta,127.73,1
216,"NATALIE MEYER","Aparecida de Goiânia",95.77,1
137,"RHONDA KENNEDY",Apeldoorn,194.61,1
77,"JANE BENNETT",Araçatuba,100.72,1
36,"KATHLEEN ADAMS",Arak,92.73,1
360,"RALPH MADRIGAL",Arecibo,150.66,1
305,"RICHARD MCCRARY",Arlington,109.75,1
102,"CRYSTAL FORD",Ashdod,137.67,1
200,"JEANNE LAWSON",Ashgabat,136.73,1
478,"LEWIS LYMAN",Ashqelon,86.81,1
226,"MAUREEN LITTLE",Asunción,87.79,1
3,"LINDA WILLIAMS",Athenai,135.74,1
84,"SARA PERRY",Atlixco,141.67,1
397,"JIMMY SCHRADER",Atšinsk,105.71,1
96,"DIANA ALEXANDER","Augusta-Richmond County",105.73,1
330,"SCOTT SHELLEY",Aurora,94.75,2
537,"CLINTON BUFORD",Aurora,103.75,1
560,"JORDAN ARCHULETA",Avellaneda,132.70,1
398,"ANTONIO MEEK",Bagé,78.84,1
322,"JASON MORRISSEY","Bahía Blanca",128.72,1
538,"TED BREAUX",Baicheng,117.71,1
495,"CHARLIE BESS",Baiyin,120.74,1
333,"ANDREW PURDY",Baku,109.73,1
55,"DORIS REED",Balašiha,100.78,1
366,"BRANDON HUEY",Balikesir,152.63,1
208,"LUCY WHEELER",Balurghat,91.74,1
